location,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,reproduction_rate,new_vaccinations_smoothed_per_million,population_density,median_age,aged_65_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index,new_deaths_smoothed,"total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,reproduction_rate,new_vaccinations_smoothed_per_million,population_density,median_age,aged_65_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index,new_deaths_smoothed"
Netherlands,2217816,10963,8858,129144.812,638.382,515.807,1.36,1221,508.544,43.2,18.779,48472.545,109.361,5.29,82.28,0.944,19.286,
New Zealand,7343,204,151,1433.452,39.824,29.477,1.27,5629,18.206,37.9,15.322,36085.843,128.797,8.08,82.29,0.931,0.429,
Nicaragua,16699,0,39.571,2491.503,0,5.904,0.62,3924,51.667,27.3,5.445,5321.444,137.016,11.47,74.48,0.66,0.143,
Niger,6434,0,17.571,256.02,0,0.699,1.32,148,16.955,15.1,2.553,926,238.339,2.42,62.42,0.394,1.143,
Nigeria,212511,65,101.857,1005.252,0.307,0.482,0.74,154,209.588,18.1,2.751,5338.454,181.013,2.42,54.69,0.539,1,
North Macedonia,205022,606,473.429,98442.329,290.974,227.319,1.18,1435,82.6,39.1,13.26,13111.214,322.688,10.08,75.8,0.774,13.714,
Norway,214795,1506,1277.143,39299.228,275.54,233.668,1.34,556,14.462,39.7,16.821,64800.057,114.316,5.31,82.4,0.957,3.143,
Oman,304329,0,12.571,58262.894,0,2.407,0.95,1607,14.98,30.7,2.355,37960.709,266.342,12.61,77.86,0.813,0.143,
Pakistan,1276240,567,556.429,5667.142,2.518,2.471,0.87,4247,255.573,23.5,4.495,5034.708,423.031,8.35,67.27,0.557,11.286,
Palestine,455099,300,300.286,87137.71,57.441,57.496,0.65,2082,778.202,20.4,3.043,4449.898,265.91,10.59,74.05,0.708,6,
Panama,473183,94,112.143,107993.618,21.453,25.594,0.93,757,55.133,29.7,7.918,22267.037,128.346,8.33,78.51,0.815,1,
Papua New Guinea,31287,277,311.286,3430.966,30.376,34.136,1.02,393,18.22,22.6,3.808,3823.194,561.494,17.65,64.5,0.555,5.571,
Paraguay,461275,50,47.286,63891.681,6.926,6.55,1.01,534,17.144,26.5,6.378,8827.01,199.128,8.27,74.25,0.728,2.143,
Peru,2205486,1062,801.429,66112.85,31.835,24.024,1.04,6296,25.129,29.1,7.151,12236.706,85.755,5.95,76.74,0.777,25.143,
Philippines,2797986,2344,2577.571,25196.433,21.108,23.212,0.56,5748,351.873,25.2,4.803,7599.188,370.437,7.07,71.23,0.718,209.143,
Poland,3076518,15905,9746.286,81395.825,420.801,257.859,1.54,1427,124.027,41.8,16.763,27216.445,227.331,5.91,78.73,0.88,96,
Portugal,1095337,1289,908.571,107724.754,126.771,89.357,1.25,381,112.371,46.2,21.502,27936.896,127.842,9.85,82.05,0.864,5.714,
Qatar,239871,119,117.143,81852.597,40.607,39.973,1.14,1082,227.322,31.9,1.307,116935.6,176.69,16.52,80.23,0.848,0.143,
Romania,1693532,8268,9290.143,88537.86,432.251,485.689,0.73,4244,85.129,43,17.85,23313.199,370.946,9.74,76.05,0.828,453.714,
Russia,8573323,39617,39210.429,58756.797,271.513,268.727,1.04,5275,8.823,39.6,14.178,24765.954,431.297,6.18,72.58,0.824,1144.571,
Rwanda,99898,44,38.571,7524.413,3.314,2.905,0.78,4050,494.869,20.3,2.974,1854.211,191.375,4.28,69.02,0.543,0.571,
Saint Lucia,12673,28,19.571,68725.224,151.843,106.135,0.88,1963,293.187,34.9,9.721,12951.839,204.62,11.62,76.2,0.759,0.857,
Saint Vincent and the Grenadines,5092,19,20.143,45762.971,170.757,181.028,0.83,2166,281.787,31.8,7.724,10727.146,252.675,11.62,72.53,0.738,0.429,
Sao Tome and Principe,3720,2,1.429,16654.43,8.954,6.396,0.69,318,212.841,18.7,2.886,3052.714,270.113,2.42,70.39,0.625,0,
Saudi Arabia,548848,43,45.429,15530.205,1.217,1.285,0.94,2725,15.322,31.9,3.295,49045.411,259.538,17.72,75.13,0.854,1.714,
Serbia,1174333,5725,6073.429,170897.907,833.146,883.852,0.88,3613,80.291,41.2,17.366,14048.881,439.415,10.08,76,0.806,63.571,
Seychelles,22381,45,19.714,226276.413,454.959,199.315,1.07,3407,208.354,36.2,8.606,26382.287,242.648,10.55,73.4,0.796,0,
Sierra Leone,6398,0,0.143,785.865,0,0.018,0.01,1744,104.7,19.1,2.538,1390.3,325.721,2.42,54.7,0.452,0,
Singapore,212745,1767,2949.429,39010.012,324.006,540.822,0.87,191,7915.731,42.4,12.922,85535.383,92.243,10.99,83.62,0.938,12.571,
Slovakia,931129,8726,6276,170513.774,1597.956,1149.298,1.34,502,113.128,41.2,15.07,30155.152,287.959,7.29,77.54,0.86,23.714,
Slovenia,349996,3776,2684.286,168370.678,1816.5,1291.315,1.32,839,102.619,44.5,19.062,31400.84,153.493,7.25,81.32,0.917,10.857,
South Africa,2923393,339,257.714,48689.138,5.646,4.292,0.78,1992,46.754,27.3,5.344,12294.876,200.38,5.52,64.13,0.709,20.571,
South Korea,377712,2248,2153.286,7362.063,43.816,41.97,1.1,4359,527.967,43.4,13.914,35938.374,85.998,6.8,83.03,0.916,18,
Spain,5025639,3093,2070.143,107511.313,66.167,44.286,1.3,2203,93.105,45.5,19.436,34272.36,99.403,7.17,83.56,0.904,19.429,
Sri Lanka,544013,628,656.714,25306.101,29.213,30.549,0.96,3788,341.955,34.1,10.069,11669.077,197.093,10.68,76.98,0.782,16.429,
Suriname,49400,38,71.571,83474.429,64.211,120.939,0.73,1822,3.612,29.6,6.933,13767.119,258.314,12.54,71.68,0.738,3.571,
Sweden,1177094,825,797.429,115853.896,81.2,78.486,1.17,665,24.718,41,19.985,46949.283,133.982,4.79,82.8,0.945,4.571,
Switzerland,887446,2849,2126.857,101823.947,326.889,244.032,1.46,1245,214.243,43.1,18.436,57410.166,99.739,5.59,83.78,0.955,5.714,
Tajikistan,17486,0,0,1793.505,0,0,0.01,306,64.281,23.3,3.466,2896.913,427.698,7.11,71.1,0.668,0,
Thailand,1960039,8467,9442.571,28020.234,121.042,134.989,0.91,10138,135.132,40.1,11.373,16277.671,109.861,7.04,77.15,0.777,77.286,
Timor,19795,1,1.143,14729.793,0.744,0.85,0.62,3861,87.176,18,3.556,6570.102,335.346,6.86,69.5,0.606,0,
Togo,26107,5,7.571,3079.294,0.59,0.893,0.65,631,143.366,19.4,2.839,1429.813,280.033,6.15,61.04,0.515,0.143,
Trinidad and Tobago,58581,140,250,41742.971,99.76,178.142,1.19,1773,266.886,36.2,10.014,28763.071,228.467,10.97,73.51,0.796,11.286,
Tunisia,713071,0,107.571,59742.384,0,9.013,0.71,4270,74.228,32.7,8.001,10849.297,318.991,8.52,76.7,0.74,4.286,
Turkey,8178871,28193,27565.286,96173.658,331.516,324.135,1.03,1848,104.914,31.6,8.153,25129.341,171.285,12.13,77.69,0.82,216.714,
Uganda,126407,59,58.143,2682.46,1.252,1.234,0.9,1019,213.759,16.4,2.168,1697.707,213.333,2.5,63.37,0.544,2,
Ukraine,3174223,27606,23121.857,73026.342,635.105,531.943,1.04,5679,77.39,41.4,16.462,7894.393,539.849,7.11,72.06,0.779,600.714,
United Arab Emirates,740289,80,79,74094.97,8.007,7.907,0.85,3199,112.442,34,1.144,67293.483,317.84,17.26,77.97,0.89,0.286,
United Kingdom,9286618,33972,37845.286,136153.217,498.071,554.858,0.86,5251,272.898,40.8,18.517,39753.244,122.137,4.28,81.32,0.932,172,
United States,46456239,96068,73106,139543.814,288.566,219.594,1.01,3676,35.608,38.3,15.413,54225.446,151.089,10.79,78.86,0.926,1167.714,
Uruguay,394914,235,208.571,113313.279,67.429,59.846,1.01,1682,19.751,35.6,14.655,20551.409,160.708,6.93,77.91,0.817,1,
Uzbekistan,187381,296,298,5521.638,8.722,8.781,0.87,6116,76.134,28.2,4.469,6253.104,724.417,7.57,71.72,0.72,2.286,
Venezuela,411574,926,1026.714,14338.086,32.259,35.768,0.97,8746,36.253,29,6.614,16745.022,204.85,6.47,72.06,0.711,12.286,
Vietnam,953547,7504,6167.286,9713.338,76.44,62.823,1.23,10829,308.127,32.6,7.15,6171.884,245.465,6,75.4,0.704,63.714,
Yemen,9843,12,10,322.82,0.394,0.328,0.83,331,53.508,20.3,2.922,1479.147,495.003,5.35,66.12,0.47,4,
Zambia,209852,37,21.429,11091.158,1.956,1.133,1.03,300,22.995,17.7,2.48,3689.251,234.499,3.94,63.89,0.584,0.286,
Zimbabwe,133112,0,26.571,8819.937,0,1.761,0.78,934,42.729,19.6,2.822,1899.775,307.846,1.82,61.49,0.571,1.429,
